,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
116,Data Scientist,Savan Group,119000.0,Remote,Remote,"[""Master's degree""]","['Power BI', 'Microsoft Excel', 'React', 'R', 'Alteryx', 'Tableau', 'Machine learning', 'JavaScript', 'Natural language processing', 'Django', 'ETL', 'Python']",['Presentation skills'],[]
117,Data Scientist,Schneider Electric,110500.0,Franklin,TN,"[""Bachelor's degree""]","['TensorFlow', 'Computer Science', 'PyTorch', 'SAS', 'R', 'Git', 'Julia', 'Docker', 'Machine learning', 'Natural language processing', 'AI', 'Python']",['Communication skills'],['AWS']
118,Data Scientist,"Signature Science, LLC",90000.0,Austin,TX,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Microsoft Powerpoint', 'Microsoft Word', 'Statistics', 'MATLAB', 'Microsoft Excel', 'Data mining', 'Signal processing', 'Relational databases', 'R', 'Data analysis skills', 'UNIX', 'Git', 'Java', 'Analysis skills', 'Machine learning', 'Natural language processing', 'Scripting', 'Software development', 'Predictive analytics', 'Linux', 'AI', 'Python', 'Marketing', 'MySQL']","['Research', 'Communication skills']","['Azure', 'Google Cloud Platform', 'AWS', 'Agile']"
119,Data Scientist,Summit Consulting,160000.0,Washington,DC,[],"['Economics', 'Statistics', 'R', 'Machine learning', 'AI', 'Python']",[],[]
120,Data Scientist,Surya Systems,143000.0,Exton,PA,"[""Master's degree""]","['Data mining', 'R', 'Tableau', 'SQL', 'Quantitative analysis', 'Python', 'Shell Scripting']",[],[]
121,Data Scientist,"TeamWorx Security, LLC",135000.0,Columbia,MD,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['TensorFlow', 'Computer science', 'Computer Science', 'PyTorch', 'Data structures', 'R', 'Java', 'Machine learning', 'Scala', 'Natural language processing', 'JSON', 'AI', 'Python']",[],[]
122,Data Scientist,The Hire Method LLC,181500.0,Remote,Remote,"[""Bachelor's degree""]","['TensorFlow', 'Computer Science', 'PyTorch', 'TS/SCI', 'NumPy', 'Machine learning', 'SciPy', 'Natural language processing', 'AI', 'Python']",['Communication skills'],[]
123,Data Scientist,The Jed Foundation,107500.0,New York,NY,"[""Master's degree""]",['Writing skills'],"['Organizational skills', 'Communication skills']",[]
124,Data Scientist,"The Travelers Companies, Inc.",150950.0,Hartford,CT,"[""Bachelor's degree""]","['Analysis skills', 'Machine learning', 'AI']",['Communication skills'],[]
125,Data Scientist,TimelyMD,120000.0,Dallas-Fort Worth,TX,"[""Bachelor's degree""]","['Statistics', 'R', 'SQL', 'PostgreSQL', 'Scala', 'Forecasting', 'Natural language processing', 'Python', 'MySQL']",[],['AWS']
126,Data Scientist,Transnetyx,129000.0,Remote,Remote,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['Statistics', 'Data mining', 'Applied Mathematics', 'SAS', 'Data structures', 'R', 'SSRS', 'SQL', 'Analysis skills', 'Machine learning', 'Data visualization', 'Data warehouse', 'Python']",['Communication skills'],['Azure']
127,Data Scientist,US Administrative Office of the U.S. Courts,133165.0,Wallops Island,VA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy', 'Master of Science']","['Statistics', 'Mathematics', 'Machine learning']",[],[]
128,Data Scientist,US Office of Federal Contract Compliance Programs,128464.0,Wallops Island,VA,"['Doctoral degree', 'Bachelor of Science', ""Bachelor's degree"", 'Doctor of Philosophy']","['Data mining', 'Analysis skills', 'Machine learning', 'Natural language processing']",[],[]
129,Data Scientist,US Office of Workers' Compensation Programs,149946.5,Wallops Island,VA,"['Doctoral degree', 'Bachelor of Science', ""Bachelor's degree"", 'Doctor of Philosophy']","['Computer science', 'SAS', 'Spark', 'R', 'SQL', 'Python']",[],[]
130,Data Scientist,UnitedHealth Group,103500.0,San Antonio,TX,"[""Master's degree"", ""Bachelor's degree""]","['TensorFlow', 'Statistical software', 'Statistics', 'Computer Science', 'PyTorch', 'Big data', 'R', 'SQL', 'Machine learning', 'Python', 'Hadoop']",[],['Azure']
131,Data Scientist,"UpHealth, Inc.",176500.0,Remote,Remote,[],"['Statistics', 'Data analysis skills', 'Machine learning', 'Natural language processing']",[],"['Azure', 'Google Cloud Platform', 'AWS']"
132,Data Scientist,Utah State University,71500.0,Logan,UT,"['Doctoral degree', ""Master's degree""]","['Computer Science', 'R', 'Databases', 'Analysis skills', 'Machine learning', 'Scala', 'Cleaning', 'Quantitative analysis', 'Python', 'Analytics']",['Communication skills'],[]
133,Data Scientist,Vetro Tech Inc,92500.0,Dallas,TX,"['Bachelor of Science', ""Bachelor's degree""]","['Data mining', 'R', 'Tableau', 'Java', 'SQL', 'C++', 'Math', 'Scala', 'Algebra', 'Python', 'Hadoop']",['Communication skills'],[]
134,Data Scientist,WEX Inc.,143500.0,Remote,Remote,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Statistical software', 'R', 'SQL', 'Cleaning', 'Regression analysis', 'Python', 'Analytics']","['Customer service', 'Communication skills']",[]
135,Data Scientist,"Willowview Consulting, LLC",88000.0,Eagle,ID,"[""Bachelor's degree""]","['Computer vision', 'R', 'Java', 'SQL', 'Analysis skills', 'C++', 'Math', 'Machine learning', 'Scala', 'Deep learning', 'Algebra', 'Python']",['Communication skills'],[]
136,Data Scientist,Wimmer Solutions,118000.0,Dallas,TX,"[""Bachelor's degree""]","['Computer Science', 'Tableau', 'SQL', 'Machine learning', 'Forecasting', 'ETL', 'Regression analysis', 'Data science', 'Python', 'Marketing']",[],[]
137,Data Scientist,f5,152605.0,Seattle,WA,"[""Master's degree""]","['RSU', 'Computer Science', 'Spark', 'SQL', 'Machine learning', 'Quantitative analysis', 'Python']",[],[]
